1,1,0.0
1,2,35.0
1,3,70.0
1,6,30.0
1,11,55.0
1,7,65.0
2,1,35.0
2,2,0.0
2,3,35.0
2,4,70.0
2,6,65.0
3,1,70.0
3,2,35.0
3,3,0.0
3,4,35.0
3,5,70.0
4,2,70.0
4,3,35.0
4,4,0.0
4,5,35.0
4,10,60.0
5,3,70.0
5,4,35.0
5,5,0.0
5,10,25.0
5,15,55.0
5,31,60.0
5,32,75.0
5,9,60.0
6,1,30.0
6,6,0.0
6,7,35.0
6,8,70.0
6,11,25.0
6,16,50.0
6,21,75.0
6,2,65.0
6,12,60.0
7,6,35.0
7,7,0.0
7,8,35.0
7,9,70.178344238091
7,1,65.0
7,11,60.0
8,6,70.0
8,7,35.0
8,8,0.0
8,9,35.35533905932738
8,10,70.178344238091
9,7,70.178344238091
9,8,35.35533905932738
9,9,0.0
9,10,35.0
9,5,60.0
9,15,65.0
10,5,25.0
10,8,70.178344238091
10,9,35.0
10,10,0.0
10,15,30.0
10,20,55.0
10,31,65.0
10,32,63.245553203367585
10,4,60.0
10,14,65.0
11,1,55.0
11,6,25.0
11,11,0.0
11,12,35.0
11,13,70.0
11,16,25.0
11,21,50.0
11,7,60.0
11,17,60.0
12,11,35.0
12,12,0.0
12,13,35.0
12,14,70.0
12,6,60.0
12,16,60.0
13,11,70.0
13,12,35.0
13,13,0.0
13,14,35.0
13,15,70.0
14,12,70.0
14,13,35.0
14,14,0.0
14,15,35.0
14,10,65.0
14,20,60.0
15,5,55.0
15,10,30.0
15,13,70.0
15,14,35.0
15,15,0.0
15,20,25.0
15,25,50.0
15,32,60.8276253029822
15,33,69.46221994724903
15,9,65.0
15,19,60.0
16,6,50.0
16,11,25.0
16,16,0.0
16,17,35.0
16,18,70.0
16,21,25.0
16,26,55.0
16,12,60.0
16,22,60.0
17,16,35.0
17,17,0.0
17,18,35.0
17,19,70.0
17,11,60.0
17,21,60.0
18,16,70.0
18,17,35.0
18,18,0.0
18,19,35.0
18,20,70.0
19,17,70.0
19,18,35.0
19,19,0.0
19,20,35.0
19,15,60.0
19,25,60.0
20,10,55.0
20,15,25.0
20,18,70.0
20,19,35.0
20,20,0.0
20,25,25.0
20,30,55.0
20,32,69.46221994724903
20,33,60.8276253029822
20,14,60.0
20,24,60.0
21,6,75.0
21,11,50.0
21,16,25.0
21,21,0.0
21,22,35.0
21,23,70.0
21,26,30.0
21,69,55.0
21,17,60.0
21,27,65.0
22,21,35.0
22,22,0.0
22,23,35.0
22,24,70.0
22,16,60.0
22,26,65.0
23,21,70.0
23,22,35.0
23,23,0.0
23,24,35.0
23,25,70.0
24,22,70.0
24,23,35.0
24,24,0.0
24,25,35.0
24,20,60.0
24,30,65.0
25,15,50.0
25,20,25.0
25,23,70.0
25,24,35.0
25,25,0.0
25,30,30.0
25,33,61.84658438426491
25,34,67.08203932499369
25,19,60.0
25,29,65.0
26,16,55.0
26,21,30.0
26,26,0.0
26,27,35.0
26,28,70.0
26,69,25.0
26,75,50.0
26,81,75.0
26,22,65.0
26,70,65.0
27,26,35.0
27,27,0.0
27,28,35.0
27,29,70.0
27,21,65.0
27,69,60.0
28,26,70.0
28,27,35.0
28,28,0.0
28,29,35.0
28,30,70.0
29,27,70.0
29,28,35.0
29,29,0.0
29,30,35.0
29,25,65.0
30,20,55.0
30,25,30.0
30,28,70.0
30,29,35.0
30,30,0.0
30,33,75.0
30,34,60.0
30,24,65.0
31,5,60.0
31,10,65.0
31,31,0.0
31,32,45.0
31,419,74.33034373659252
31,420,50.24937810560445
32,5,75.0
32,10,63.245553203367585
32,15,60.8276253029822
32,20,69.46221994724903
32,31,45.0
32,32,0.0
32,33,45.0
32,419,50.99019513592785
32,420,70.71067811865476
33,15,69.46221994724903
33,20,60.8276253029822
33,25,61.84658438426491
33,30,75.0
33,32,45.0
33,33,0.0
33,34,45.0
33,74,70.0
33,201,45.34313619501854
33,202,74.32361670424818
33,419,61.032778078668514
34,25,67.08203932499369
34,30,60.0
34,33,45.0
34,34,0.0
34,74,25.0
34,80,50.0
34,86,75.0
34,201,37.16180835212409
34,202,69.63476143421474
34,73,65.0
34,206,59.36568055487916
35,35,0.0
35,36,40.311288741492746
35,39,35.0
35,43,60.0
35,40,75.0
36,35,40.311288741492746
36,36,0.0
36,37,40.0
36,39,75.31128874149275
37,36,40.0
37,37,0.0
37,38,40.0
38,42,70.0
38,47,70.0
38,37,40.0
38,38,0.0
39,35,35.0
39,39,0.0
39,40,40.0
39,43,25.0
39,48,50.0
39,53,70.0
39,420,56.568542494923804
39,36,75.31128874149275
39,44,65.0
40,39,40.0
40,40,0.0
40,41,40.0
40,35,75.0
40,43,65.0
41,40,40.0
41,41,0.0
41,42,40.0
42,38,70.0
42,47,50.0
42,41,40.0
42,42,0.0
43,35,60.0
43,39,25.0
43,43,0.0
43,44,40.0
43,48,25.0
43,53,45.0
43,58,75.0
43,420,42.720018726587654
43,40,65.0
43,49,65.0
44,43,40.0
44,44,0.0
44,45,40.0
44,39,65.0
